ID,age,gender,Machiavellianism,Narcissism,Psychopathy,Extraversion,Agreeableness,Conscientiousness,EmotionStability
694,18,Female,22,21,22,26,40,34,21
695,21,Female,19,13,20,35,45,29,13
696,20,Female,27,27,27,29,32,34,24
698,22,Male,27,20,18,14,34,29,36
704,18,Female,20,25,11,31,47,50,30
705,19,Female,15,13,10,19,45,34,28
706,24,Female,32,20,13,21,39,32,32
717,24,Male,25,22,19,35,49,43,41
719,19,Female,13,12,14,14,45,29,27
730,32,Female,11,15,12,40,44,29,39
731,23,Female,30,23,20,38,45,37,25
736,18,Female,18,15,13,30,49,37,35
737,20,Male,42,26,29,24,34,32,25
738,20,Female,20,28,18,45,49,42,27
740,25,Female,26,30,15,40,42,39,36
742,19,Female,35,26,26,40,30,25,40
745,16,Female,27,28,21,22,42,35,27
746,20,Female,20,13,10,14,37,35,36
749,18,Female,26,24,25,26,36,32,21
751,22,Female,14,10,10,19,39,39,39
754,33,Female,15,19,18,25,48,41,24
759,21,Female,26,23,23,19,42,42,22
763,21,Female,24,31,11,32,45,34,26
766,25,Female,24,17,12,28,45,35,25
770,33,Female,22,14,12,19,37,38,31
792,22,Female,26,12,14,21,42,37,23
798,15,Female,27,15,15,18,32,36,27
799,19,Female,18,16,18,12,42,31,15
807,19,Female,28,15,14,17,43,40,18
812,22,Female,34,26,30,39,40,38,40
817,15,Female,28,23,13,20,41,39,25
819,21,Male,17,17,13,30,50,34,28
821,20,Female,23,25,22,22,36,37,27
831,23,Female,23,25,13,29,46,41,34
833,22,Female,24,22,19,24,34,31,19
834,17,Female,22,15,21,20,42,38,22
836,34,Female,15,16,10,16,42,43,20
843,20,Male,41,34,43,20,32,34,18
851,14,Female,17,16,20,38,46,28,30
854,15,Female,35,21,15,24,34,36,23
855,24,Male,38,27,22,25,38,38,32
856,24,Female,29,26,19,31,37,38,38
859,20,Female,33,20,15,20,32,27,30
864,21,Female,37,31,22,31,41,43,18
867,23,Female,24,32,20,30,37,37,21
869,16,Female,21,20,17,21,36,37,28
878,21,Female,27,27,20,28,31,30,24
882,21,Female,28,22,27,26,38,36,26
885,17,Female,24,28,24,22,37,35,23
887,19,Female,14,25,20,32,43,31,30
891,18,Female,25,25,18,15,45,40,19
892,22,Female,24,19,14,29,42,34,29
901,17,Male,34,28,17,31,36,37,32
902,17,Female,35,25,26,28,38,39,15
913,16,Female,22,22,26,30,43,34,34
916,17,Female,28,17,13,18,45,38,39
919,26,Female,30,16,21,21,39,37,22
923,21,Male,23,24,22,37,46,31,39
930,20,Male,27,22,19,13,45,33,13
950,49,Male,21,15,9,13,43,36,48
952,26,Female,29,25,20,28,40,38,25
961,19,Female,25,13,14,17,43,36,26
963,26,Female,37,22,16,11,44,38,34
966,26,Female,14,12,12,11,37,36,16
968,21,Male,13,19,15,31,40,35,31
974,18,Female,23,18,13,15,37,32,30
975,17,Male,27,20,14,16,45,35,27
979,23,Female,24,20,14,26,44,42,37
1,21,Female,20,15,16,27,39,26,40
6,27,Female,25,19,13,32,44,33,35
8,29,Male,26,24,16,29,46,41,30
23,24,Female,22,20,16,37,41,29,30
24,27,Female,24,15,16,16,44,29,32
28,21,Female,26,28,23,43,45,40,33
39,22,Female,27,22,25,29,44,36,22
40,22,Female,27,15,17,19,41,39,23
43,21,Female,35,29,29,22,35,35,17
55,23,Female,33,31,23,48,34,29,39
58,29,Female,19,20,11,24,40,34,25
59,20,Female,26,24,23,48,43,37,35
61,22,Female,33,30,14,20,40,37,13
62,21,Female,27,17,13,17,37,38,39
68,23,Female,29,24,16,24,33,37,25
70,24,Female,33,28,16,29,44,41,36
71,22,Male,22,23,14,31,41,34,30
73,24,Female,20,28,15,33,35,31,35
74,21,Female,27,17,21,34,46,43,33
75,22,Female,33,24,24,27,39,36,25
85,47,Female,28,26,16,35,43,33,38
93,21,Female,20,17,16,31,41,34,34
99,22,Female,24,20,23,26,38,29,36
